CREATE TABLE ZipCode (_id INTEGER PRIMARY KEY, ZipCode varchar(5), ZipCodeType varchar(25), City varchar(30), State varchar(2))
INSERT INTO ZipCode VALUES(72,721,'PO BOX','RIO GRANDE','PR')
INSERT INTO ZipCode VALUES(73,723,'STANDARD','PATILLAS','PR')
INSERT INTO ZipCode VALUES(74,725,'STANDARD','CAGUAS','PR')
INSERT INTO ZipCode VALUES(75,726,'PO BOX','CAGUAS','PR')
INSERT INTO ZipCode VALUES(76,727,'STANDARD','CAGUAS','PR')
INSERT INTO ZipCode VALUES(77,728,'STANDARD','PONCE','PR')
INSERT INTO ZipCode VALUES(78,729,'STANDARD','CANOVANAS','PR')
INSERT INTO ZipCode VALUES(79,730,'STANDARD','PONCE','PR')
INSERT INTO ZipCode VALUES(80,731,'STANDARD','PONCE','PR')
INSERT INTO ZipCode VALUES(81,732,'PO BOX','PONCE','PR')
INSERT INTO ZipCode VALUES(82,733,'PO BOX','PONCE','PR')
INSERT INTO ZipCode VALUES(83,734,'PO BOX','PONCE','PR')
INSERT INTO ZipCode VALUES(84,735,'STANDARD','CEIBA','PR')
INSERT INTO ZipCode VALUES(85,735,'STANDARD','ROOSEVELT RDS','PR')
INSERT INTO ZipCode VALUES(86,735,'STANDARD','ROOSEVELT ROADS','PR')
INSERT INTO ZipCode VALUES(87,736,'STANDARD','CAYEY','PR')
INSERT INTO ZipCode VALUES(88,737,'PO BOX','CAYEY','PR')
INSERT INTO ZipCode VALUES(89,738,'STANDARD','FAJARDO','PR')
INSERT INTO ZipCode VALUES(90,739,'STANDARD','CIDRA','PR')
INSERT INTO ZipCode VALUES(91,740,'STANDARD','PUERTO REAL','PR')
INSERT INTO ZipCode VALUES(92,741,'STANDARD','PUNTA SANTIAGO','PR')
INSERT INTO ZipCode VALUES(93,741,'STANDARD','PUNTA STGO','PR')
INSERT INTO ZipCode VALUES(94,742,'PO BOX','ROOSEVELT ROADS','PR')
INSERT INTO ZipCode VALUES(95,742,'PO BOX','CEIBA','PR')
INSERT INTO ZipCode VALUES(96,742,'PO BOX','ROOSEVELT RDS','PR')
INSERT INTO ZipCode VALUES(97,744,'PO BOX','RIO BLANCO','PR')
INSERT INTO ZipCode VALUES(98,745,'STANDARD','RIO GRANDE','PR')
INSERT INTO ZipCode VALUES(99,751,'STANDARD','SALINAS','PR')
INSERT INTO ZipCode VALUES(100,754,'STANDARD','SAN LORENZO','PR')
INSERT INTO ZipCode VALUES(101,757,'STANDARD','SANTA ISABEL','PR')
INSERT INTO ZipCode VALUES(102,765,'STANDARD','VIEQUES','PR')
INSERT INTO ZipCode VALUES(103,766,'STANDARD','VILLALBA','PR')
INSERT INTO ZipCode VALUES(104,767,'STANDARD','YABUCOA','PR')
INSERT INTO ZipCode VALUES(105,769,'STANDARD','COAMO','PR')
INSERT INTO ZipCode VALUES(106,771,'STANDARD','LAS PIEDRAS','PR')
INSERT INTO ZipCode VALUES(107,772,'STANDARD','LOIZA','PR')
INSERT INTO ZipCode VALUES(108,773,'STANDARD','LUQUILLO','PR')
INSERT INTO ZipCode VALUES(109,775,'PO BOX','CULEBRA','PR')
INSERT INTO ZipCode VALUES(110,777,'STANDARD','JUNCOS','PR')
INSERT INTO ZipCode VALUES(111,778,'STANDARD','GURABO','PR')
INSERT INTO ZipCode VALUES(112,780,'STANDARD','COTO LAUREL','PR')
INSERT INTO ZipCode VALUES(113,780,'STANDARD','PONCE','PR')
INSERT INTO ZipCode VALUES(114,782,'STANDARD','COMERIO','PR')
INSERT INTO ZipCode VALUES(115,783,'STANDARD','COROZAL','PR')
INSERT INTO ZipCode VALUES(116,784,'STANDARD','GUAYAMA','PR')
INSERT INTO ZipCode VALUES(117,785,'PO BOX','GUAYAMA','PR')
INSERT INTO ZipCode VALUES(118,786,'PO BOX','LA PLATA','PR')
INSERT INTO ZipCode VALUES(119,791,'STANDARD','HUMACAO','PR')
INSERT INTO ZipCode VALUES(120,792,'PO BOX','HUMACAO','PR')
INSERT INTO ZipCode VALUES(121,794,'STANDARD','BARRANQUITAS','PR')
INSERT INTO ZipCode VALUES(122,795,'STANDARD','JUANA DIAZ','PR')
INSERT INTO ZipCode VALUES(123,801,'PO BOX','ST THOMAS','VI')
INSERT INTO ZipCode VALUES(124,801,'PO BOX','CHARLOTTE AMA','VI')
INSERT INTO ZipCode VALUES(125,801,'PO BOX','CHARLOTTE AMALIE','VI')
INSERT INTO ZipCode VALUES(126,802,'STANDARD','ST THOMAS','VI')
INSERT INTO ZipCode VALUES(127,802,'STANDARD','CHARLOTTE AMA','VI')
INSERT INTO ZipCode VALUES(128,802,'STANDARD','CHARLOTTE AMALIE','VI')
INSERT INTO ZipCode VALUES(129,803,'PO BOX','ST THOMAS','VI')
INSERT INTO ZipCode VALUES(130,803,'PO BOX','CHARLOTTE AMA','VI')
INSERT INTO ZipCode VALUES(131,803,'PO BOX','CHARLOTTE AMALIE','VI')
INSERT INTO ZipCode VALUES(132,804,'PO BOX','ST THOMAS','VI')
INSERT INTO ZipCode VALUES(133,804,'PO BOX','CHARLOTTE AMA','VI')
INSERT INTO ZipCode VALUES(134,804,'PO BOX','CHARLOTTE AMALIE','VI')
INSERT INTO ZipCode VALUES(135,805,'PO BOX','ST THOMAS','VI')
INSERT INTO ZipCode VALUES(136,820,'STANDARD','CHRISTIANSTED','VI')
INSERT INTO ZipCode VALUES(137,820,'STANDARD','ST CROIX','VI')
INSERT INTO ZipCode VALUES(138,821,'PO BOX','CHRISTIANSTED','VI')
INSERT INTO ZipCode VALUES(139,822,'PO BOX','CHRISTIANSTED','VI')
INSERT INTO ZipCode VALUES(140,823,'PO BOX','CHRISTIANSTED','VI')
INSERT INTO ZipCode VALUES(141,823,'PO BOX','ST CROIX','VI')
INSERT INTO ZipCode VALUES(142,824,'PO BOX','CHRISTIANSTED','VI')
INSERT INTO ZipCode VALUES(143,824,'PO BOX','ST CROIX','VI')
INSERT INTO ZipCode VALUES(144,830,'STANDARD','ST JOHN','VI')
INSERT INTO ZipCode VALUES(145,830,'STANDARD','CRUZ BAY','VI')
INSERT INTO ZipCode VALUES(146,831,'PO BOX','ST JOHN','VI')
INSERT INTO ZipCode VALUES(147,831,'PO BOX','CRUZ BAY','VI')
INSERT INTO ZipCode VALUES(148,840,'STANDARD','FREDERIKSTED','VI')
INSERT INTO ZipCode VALUES(149,841,'PO BOX','FREDERIKSTED','VI')
INSERT INTO ZipCode VALUES(150,850,'STANDARD','KINGSHILL','VI')
INSERT INTO ZipCode VALUES(151,851,'PO BOX','KINGSHILL','VI')
INSERT INTO ZipCode VALUES(152,901,'STANDARD','SAN JUAN','PR')
INSERT INTO ZipCode VALUES(153,901,'STANDARD','OLD SAN JUAN','PR')
INSERT INTO ZipCode VALUES(154,901,'STANDARD','VIEJO SAN JUAN','PR')
INSERT INTO ZipCode VALUES(155,901,'STANDARD','VIEJO SN JUAN','PR')
INSERT INTO ZipCode VALUES(156,902,'PO BOX','SAN JUAN','PR')
INSERT INTO ZipCode VALUES(157,902,'PO BOX','OLD SAN JUAN','PR')
INSERT INTO ZipCode VALUES(158,902,'PO BOX','VIEJO SAN JUAN','PR')
INSERT INTO ZipCode VALUES(159,902,'PO BOX','VIEJO SN JUAN','PR')
INSERT INTO ZipCode VALUES(160,906,'PO BOX','SAN JUAN','PR')
INSERT INTO ZipCode VALUES(161,906,'PO BOX','PTA DE TIERRA','PR')
INSERT INTO ZipCode VALUES(162,906,'PO BOX','PUERTA DE TIERRA','PR')
INSERT INTO ZipCode VALUES(163,907,'STANDARD','SAN JUAN','PR')
INSERT INTO ZipCode VALUES(164,907,'STANDARD','CONDADO','PR')
INSERT INTO ZipCode VALUES(165,907,'STANDARD','MIRAMAR','PR')
INSERT INTO ZipCode VALUES(166,907,'STANDARD','SANTURCE','PR')
INSERT INTO ZipCode VALUES(167,908,'PO BOX','SAN JUAN','PR')
INSERT INTO ZipCode VALUES(168,909,'STANDARD','SAN JUAN','PR')
INSERT INTO ZipCode VALUES(169,909,'STANDARD','FDEZ JUNCOS','PR')
INSERT INTO ZipCode VALUES(170,909,'STANDARD','FERNANDEZ JUNCOS','PR')
INSERT INTO ZipCode VALUES(171,909,'STANDARD','MINILLAS','PR')
INSERT INTO ZipCode VALUES(172,909,'STANDARD','SANTURCE','PR')
INSERT INTO ZipCode VALUES(173,910,'PO BOX','SAN JUAN','PR')
INSERT INTO ZipCode VALUES(174,910,'PO BOX','FDEZ JUNCOS','PR')
INSERT INTO ZipCode VALUES(175,910,'PO BOX','FERNANDEZ JUNCOS','PR')
INSERT INTO ZipCode VALUES(176,911,'STANDARD','SAN JUAN','PR')
INSERT INTO ZipCode VALUES(177,911,'STANDARD','LOIZA STREET','PR')
INSERT INTO ZipCode VALUES(178,911,'STANDARD','SANTURCE','PR')
INSERT INTO ZipCode VALUES(179,912,'STANDARD','SAN JUAN','PR')
INSERT INTO ZipCode VALUES(180,912,'STANDARD','SANTURCE','PR')
INSERT INTO ZipCode VALUES(181,913,'STANDARD','SAN JUAN','PR')
INSERT INTO ZipCode VALUES(182,913,'STANDARD','ISLA VERDE','PR')
INSERT INTO ZipCode VALUES(183,913,'STANDARD','SANTURCE','PR')
INSERT INTO ZipCode VALUES(184,914,'PO BOX','SAN JUAN','PR')
INSERT INTO ZipCode VALUES(185,914,'PO BOX','LOIZA STREET','PR')
INSERT INTO ZipCode VALUES(186,914,'PO BOX','SANTURCE','PR')
INSERT INTO ZipCode VALUES(187,915,'STANDARD','SAN JUAN','PR')
INSERT INTO ZipCode VALUES(188,915,'STANDARD','BARRIO OBRERO','PR')
INSERT INTO ZipCode VALUES(189,915,'STANDARD','BO OBRERO','PR')
INSERT INTO ZipCode VALUES(190,915,'STANDARD','SANTURCE','PR')
INSERT INTO ZipCode VALUES(191,916,'PO BOX','SAN JUAN','PR')
INSERT INTO ZipCode VALUES(192,916,'PO BOX','BARRIO OBRERO','PR')
INSERT INTO ZipCode VALUES(193,916,'PO BOX','SANTURCE','PR')
INSERT INTO ZipCode VALUES(194,917,'STANDARD','SAN JUAN','PR')
INSERT INTO ZipCode VALUES(195,917,'STANDARD','HATO REY','PR')
INSERT INTO ZipCode VALUES(196,918,'STANDARD','SAN JUAN','PR')
INSERT INTO ZipCode VALUES(197,919,'PO BOX','SAN JUAN','PR')
INSERT INTO ZipCode VALUES(198,919,'PO BOX','HATO REY','PR')
INSERT INTO ZipCode VALUES(199,920,'STANDARD','SAN JUAN','PR')
INSERT INTO ZipCode VALUES(200,920,'STANDARD','CAPARRA','PR')
INSERT INTO ZipCode VALUES(201,920,'STANDARD','CAPARRA HILLS','PR')
INSERT INTO ZipCode VALUES(202,920,'STANDARD','CAPARRA TER','PR')
INSERT INTO ZipCode VALUES(203,920,'STANDARD','CAPARRA TERRACE','PR')
INSERT INTO ZipCode VALUES(204,920,'STANDARD','PTO NUEVO','PR')
INSERT INTO ZipCode VALUES(205,920,'STANDARD','PUERTO NUEVO','PR')
INSERT INTO ZipCode VALUES(206,921,'STANDARD','SAN JUAN','PR')
INSERT INTO ZipCode VALUES(207,921,'STANDARD','COLLEGE PARK','PR')
INSERT INTO ZipCode VALUES(208,921,'STANDARD','PTO NUEVO','PR')
INSERT INTO ZipCode VALUES(209,921,'STANDARD','PUERTO NUEVO','PR')
INSERT INTO ZipCode VALUES(210,921,'STANDARD','RIO PIEDRAS','PR')
INSERT INTO ZipCode VALUES(211,922,'PO BOX','SAN JUAN','PR')
INSERT INTO ZipCode VALUES(212,922,'PO BOX','CAPARRA','PR')
INSERT INTO ZipCode VALUES(213,922,'PO BOX','CAPARRA HILLS','PR')
INSERT INTO ZipCode VALUES(214,922,'PO BOX','CAPARRA TER','PR')
INSERT INTO ZipCode VALUES(215,922,'PO BOX','CAPARRA TERRACE','PR')
INSERT INTO ZipCode VALUES(216,923,'STANDARD','SAN JUAN','PR')
INSERT INTO ZipCode VALUES(217,923,'STANDARD','65TH INFANTRY','PR')
INSERT INTO ZipCode VALUES(218,924,'STANDARD','SAN JUAN','PR')
INSERT INTO ZipCode VALUES(219,924,'STANDARD','RIO PIEDRAS','PR')
INSERT INTO ZipCode VALUES(220,924,'STANDARD','65TH INFANTRY','PR')
INSERT INTO ZipCode VALUES(221,925,'STANDARD','SAN JUAN','PR')
INSERT INTO ZipCode VALUES(222,925,'STANDARD','RIO PIEDRAS','PR')
INSERT INTO ZipCode VALUES(223,926,'STANDARD','SAN JUAN','PR')
INSERT INTO ZipCode VALUES(224,926,'STANDARD','CUPEY','PR')
INSERT INTO ZipCode VALUES(225,926,'STANDARD','RIO PIEDRAS','PR')
INSERT INTO ZipCode VALUES(226,927,'STANDARD','SAN JUAN','PR')
INSERT INTO ZipCode VALUES(227,927,'STANDARD','RIO PIEDRAS','PR')
INSERT INTO ZipCode VALUES(228,928,'PO BOX','SAN JUAN','PR')
INSERT INTO ZipCode VALUES(229,928,'PO BOX','RIO PIEDRAS','PR')
INSERT INTO ZipCode VALUES(230,929,'PO BOX','SAN JUAN','PR')
INSERT INTO ZipCode VALUES(231,929,'PO BOX','RIO PIEDRAS','PR')
INSERT INTO ZipCode VALUES(232,929,'PO BOX','65TH INFANTRY','PR')
INSERT INTO ZipCode VALUES(233,930,'PO BOX','SAN JUAN','PR')
INSERT INTO ZipCode VALUES(234,930,'PO BOX','RIO PIEDRAS','PR')
INSERT INTO ZipCode VALUES(235,930,'PO BOX','SAN JOSE','PR')
INSERT INTO ZipCode VALUES(236,931,'PO BOX','SAN JUAN','PR')
INSERT INTO ZipCode VALUES(237,931,'PO BOX','RIO PIEDRAS','PR')
INSERT INTO ZipCode VALUES(238,933,'PO BOX','SAN JUAN','PR')
INSERT INTO ZipCode VALUES(239,934,'STANDARD','FORT BUCHANAN','PR')
INSERT INTO ZipCode VALUES(240,934,'STANDARD','FT BUCHANAN','PR')
INSERT INTO ZipCode VALUES(241,935,'UNIQUE','SAN JUAN','PR')
INSERT INTO ZipCode VALUES(242,936,'PO BOX','SAN JUAN','PR')
INSERT INTO ZipCode VALUES(243,936,'PO BOX','BARRIO OBRERO','PR')
INSERT INTO ZipCode VALUES(244,936,'PO BOX','CAPARRA','PR')
INSERT INTO ZipCode VALUES(245,936,'PO BOX','CUPEY','PR')
INSERT INTO ZipCode VALUES(246,936,'PO BOX','GPO','PR')
INSERT INTO ZipCode VALUES(247,936,'PO BOX','LOIZA STREET','PR')
INSERT INTO ZipCode VALUES(248,936,'PO BOX','MINILLAS','PR')
INSERT INTO ZipCode VALUES(249,936,'PO BOX','OLD SAN JUAN','PR')
INSERT INTO ZipCode VALUES(250,936,'PO BOX','RIO PIEDRAS','PR')
INSERT INTO ZipCode VALUES(251,936,'PO BOX','SAN JOSE','PR')
INSERT INTO ZipCode VALUES(252,936,'PO BOX','SANTURCE','PR')
INSERT INTO ZipCode VALUES(253,936,'PO BOX','SANTURCE STATION','PR')
INSERT INTO ZipCode VALUES(254,936,'PO BOX','65TH INFANTRY','PR')
INSERT INTO ZipCode VALUES(255,937,'PO BOX','SAN JUAN','PR')
INSERT INTO ZipCode VALUES(256,939,'UNIQUE','SAN JUAN','PR')
INSERT INTO ZipCode VALUES(257,940,'PO BOX','SAN JUAN','PR')
INSERT INTO ZipCode VALUES(258,940,'PO BOX','MINILLAS','PR')
INSERT INTO ZipCode VALUES(259,940,'PO BOX','SANTURCE','PR')
INSERT INTO ZipCode VALUES(260,949,'STANDARD','TOA BAJA','PR')
INSERT INTO ZipCode VALUES(261,949,'STANDARD','LEVITTOWN','PR')
INSERT INTO ZipCode VALUES(262,950,'PO BOX','TOA BAJA','PR')
INSERT INTO ZipCode VALUES(263,951,'PO BOX','TOA BAJA','PR')
INSERT INTO ZipCode VALUES(264,952,'STANDARD','SABANA SECA','PR')
INSERT INTO ZipCode VALUES(265,953,'STANDARD','TOA ALTA','PR')
INSERT INTO ZipCode VALUES(266,954,'PO BOX','TOA ALTA','PR')
INSERT INTO ZipCode VALUES(267,955,'PO BOX','SAN JUAN','PR')
INSERT INTO ZipCode VALUES(268,956,'STANDARD','BAYAMON','PR')
INSERT INTO ZipCode VALUES(269,957,'STANDARD','BAYAMON','PR')
INSERT INTO ZipCode VALUES(270,958,'PO BOX','BAYAMON','PR')
INSERT INTO ZipCode VALUES(271,959,'STANDARD','BAYAMON','PR')
INSERT INTO ZipCode VALUES(272,960,'PO BOX','BAYAMON','PR')
INSERT INTO ZipCode VALUES(273,961,'STANDARD','BAYAMON','PR')
INSERT INTO ZipCode VALUES(274,962,'STANDARD','CATANO','PR')
INSERT INTO ZipCode VALUES(275,963,'PO BOX','CATANO','PR')
INSERT INTO ZipCode VALUES(276,965,'STANDARD','GUAYNABO','PR')
INSERT INTO ZipCode VALUES(277,966,'STANDARD','GUAYNABO','PR')
INSERT INTO ZipCode VALUES(278,968,'STANDARD','GUAYNABO','PR')
INSERT INTO ZipCode VALUES(279,969,'STANDARD','GUAYNABO','PR')
INSERT INTO ZipCode VALUES(280,970,'PO BOX','GUAYNABO','PR')
INSERT INTO ZipCode VALUES(281,971,'STANDARD','GUAYNABO','PR')
INSERT INTO ZipCode VALUES(282,975,'UNIQUE','SAN JUAN','PR')
INSERT INTO ZipCode VALUES(283,976,'STANDARD','TRUJILLO ALTO','PR')
INSERT INTO ZipCode VALUES(284,977,'PO BOX','TRUJILLO ALTO','PR')
INSERT INTO ZipCode VALUES(285,978,'PO BOX','SAINT JUST','PR')
INSERT INTO ZipCode VALUES(286,979,'STANDARD','CAROLINA','PR')
INSERT INTO ZipCode VALUES(287,981,'PO BOX','CAROLINA','PR')
INSERT INTO ZipCode VALUES(288,982,'STANDARD','CAROLINA','PR')
INSERT INTO ZipCode VALUES(289,983,'STANDARD','CAROLINA','PR')
INSERT INTO ZipCode VALUES(290,984,'PO BOX','CAROLINA','PR')
INSERT INTO ZipCode VALUES(291,985,'STANDARD','CAROLINA','PR')
INSERT INTO ZipCode VALUES(292,986,'PO BOX','CAROLINA','PR')
INSERT INTO ZipCode VALUES(293,987,'STANDARD','CAROLINA','PR')
INSERT INTO ZipCode VALUES(294,988,'PO BOX','CAROLINA','PR')
INSERT INTO ZipCode VALUES(295,1001,'STANDARD','AGAWAM','MA')
INSERT INTO ZipCode VALUES(296,1002,'STANDARD','AMHERST','MA')
INSERT INTO ZipCode VALUES(297,1002,'STANDARD','CUSHMAN','MA')
INSERT INTO ZipCode VALUES(298,1002,'STANDARD','PELHAM','MA')
INSERT INTO ZipCode VALUES(299,1003,'PO BOX','AMHERST','MA')
INSERT INTO ZipCode VALUES(300,1004,'PO BOX','AMHERST','MA')
INSERT INTO ZipCode VALUES(301,1005,'STANDARD','BARRE','MA')
INSERT INTO ZipCode VALUES(302,1007,'STANDARD','BELCHERTOWN','MA')
INSERT INTO ZipCode VALUES(303,1008,'STANDARD','BLANDFORD','MA')
INSERT INTO ZipCode VALUES(304,1009,'PO BOX','BONDSVILLE','MA')
INSERT INTO ZipCode VALUES(305,1010,'STANDARD','BRIMFIELD','MA')
INSERT INTO ZipCode VALUES(306,1011,'STANDARD','CHESTER','MA')
INSERT INTO ZipCode VALUES(307,1012,'STANDARD','CHESTERFIELD','MA')
INSERT INTO ZipCode VALUES(308,1013,'STANDARD','CHICOPEE','MA')
INSERT INTO ZipCode VALUES(309,1013,'STANDARD','WILLIMANSETT','MA')
INSERT INTO ZipCode VALUES(310,1014,'PO BOX','CHICOPEE','MA')
INSERT INTO ZipCode VALUES(311,1020,'STANDARD','CHICOPEE','MA')
INSERT INTO ZipCode VALUES(312,1021,'PO BOX','CHICOPEE','MA')
INSERT INTO ZipCode VALUES(313,1022,'STANDARD','CHICOPEE','MA')
INSERT INTO ZipCode VALUES(314,1022,'STANDARD','WESTOVER AFB','MA')
INSERT INTO ZipCode VALUES(315,1026,'STANDARD','CUMMINGTON','MA')
INSERT INTO ZipCode VALUES(316,1027,'STANDARD','EASTHAMPTON','MA')
INSERT INTO ZipCode VALUES(317,1027,'STANDARD','E HAMPTON','MA')
INSERT INTO ZipCode VALUES(318,1027,'STANDARD','MOUNT TOM','MA')
INSERT INTO ZipCode VALUES(319,1027,'STANDARD','WESTHAMPTON','MA')
INSERT INTO ZipCode VALUES(320,1028,'STANDARD','EAST LONGMEADOW','MA')
INSERT INTO ZipCode VALUES(321,1028,'STANDARD','E LONGMEADOW','MA')
INSERT INTO ZipCode VALUES(322,1029,'PO BOX','EAST OTIS','MA')
INSERT INTO ZipCode VALUES(323,1030,'STANDARD','FEEDING HILLS','MA')
INSERT INTO ZipCode VALUES(324,1031,'STANDARD','GILBERTVILLE','MA')
INSERT INTO ZipCode VALUES(325,1032,'STANDARD','GOSHEN','MA')
INSERT INTO ZipCode VALUES(326,1033,'STANDARD','GRANBY','MA')
INSERT INTO ZipCode VALUES(327,1034,'STANDARD','GRANVILLE','MA')
INSERT INTO ZipCode VALUES(328,1034,'STANDARD','TOLLAND','MA')
INSERT INTO ZipCode VALUES(329,1035,'STANDARD','HADLEY','MA')
INSERT INTO ZipCode VALUES(330,1036,'STANDARD','HAMPDEN','MA')
INSERT INTO ZipCode VALUES(331,1037,'PO BOX','HARDWICK','MA')
INSERT INTO ZipCode VALUES(332,1038,'STANDARD','HATFIELD','MA')
INSERT INTO ZipCode VALUES(333,1039,'STANDARD','HAYDENVILLE','MA')
INSERT INTO ZipCode VALUES(334,1039,'STANDARD','WEST WHATELY','MA')
INSERT INTO ZipCode VALUES(335,1040,'STANDARD','HOLYOKE','MA')
INSERT INTO ZipCode VALUES(336,1041,'PO BOX','HOLYOKE','MA')
INSERT INTO ZipCode VALUES(337,1050,'STANDARD','HUNTINGTON','MA')
INSERT INTO ZipCode VALUES(338,1050,'STANDARD','MONTGOMERY','MA')
INSERT INTO ZipCode VALUES(339,1053,'STANDARD','LEEDS','MA')
INSERT INTO ZipCode VALUES(340,1054,'STANDARD','LEVERETT','MA')
INSERT INTO ZipCode VALUES(341,1056,'STANDARD','LUDLOW','MA')
INSERT INTO ZipCode VALUES(342,1057,'STANDARD','MONSON','MA')
